jobtitle,jobfield,scale_e,scale_i,scale_s,scale_n,scale_t,scale_f,scale_j,scale_p,psychotype,satisfied
Graduate student,Students,14,18,6,28,13,16,11,25,INFP,1
Graduate student,Students,18,16,16,17,19,20,21,19,ENFJ,0
Graduate student,Students,23,11,17,17,23,10,17,19,ESTP,1
Graduate student,Students,27,8,21,14,28,10,19,17,ESTJ,1
Graduate student,Students,15,18,14,17,19,10,27,7,INTJ,0
Graduate student,Students,15,19,7,18,19,12,6,27,INTP,0
Graduate student,Students,17,18,15,15,30,6,14,18,ISTP,0
Graduate student,Students,25,8,19,16,15,21,22,14,ESFJ,1
Graduate student,Students,21,11,21,10,30,10,21,18,ESTJ,1
Graduate student,Students,16,19,8,23,9,27,15,20,INFP,0
Graduate student,Students,20,18,18,14,12,18,22,10,ESFJ,1
Graduate student,Students,24,14,10,20,15,16,9,27,ENFP,0
Graduate student,Students,23,10,10,22,14,25,24,12,ENFJ,0
Graduate student,Students,29,4,10,22,7,25,11,23,ENFP,1
Graduate student,Students,13,21,9,20,23,9,13,18,INTP,0
Graduate student,Students,26,9,8,26,15,22,3,29,ENFP,1
Graduate student,Students,12,21,20,9,14,24,19,16,ISFJ,0
Graduate student,Students,15,22,19,18,22,11,14,21,ISTP,0
Graduate student,Students,12,21,17,12,21,12,22,14,ISTJ,0
Graduate student,Students,13,23,21,11,29,9,18,18,ISTJ,0
Graduate student,Students,22,17,27,7,32,5,28,5,ESTJ,1
Graduate student,Students,9,25,15,20,13,22,26,6,INFJ,1
Graduate student,Students,23,14,12,22,20,11,17,19,ENTP,1
Graduate student,Students,17,20,13,19,24,13,23,11,INTJ,0
Graduate student,Students,31,4,17,15,18,10,17,17,ESTJ,1
Foreman (manufacturing),Department head,19,16,29,5,18,13,18,16,ESTJ,1
Foreman (manufacturing),Department head,12,25,14,16,28,8,23,11,INTJ,1
Foreman (manufacturing),Department head,23,14,17,12,32,8,16,20,ESTP,1
Foreman (manufacturing),Department head,11,21,23,10,22,6,24,13,ISTJ,0
Foreman (manufacturing),Department head,23,14,10,23,18,20,17,17,ENFJ,1
Foreman (manufacturing),Department head,28,13,20,12,24,15,31,2,ESTJ,1
Foreman (manufacturing),Department head,10,26,15,18,27,13,15,17,INTP,1
Foreman (manufacturing),Department head,25,12,21,10,28,9,27,4,ESTJ,0
Foreman (manufacturing),Department head,15,25,26,7,31,3,31,2,ISTJ,0
Foreman (manufacturing),Department head,32,6,15,21,23,12,18,17,ENTJ,1
Foreman (manufacturing),Department head,22,19,29,4,28,5,27,9,ESTJ,1
Foreman (manufacturing),Department head,24,13,24,6,22,9,19,13,ESTJ,1
Foreman (manufacturing),Department head,19,14,23,14,18,23,22,13,ESFJ,0
Foreman (manufacturing),Department head,17,22,26,8,22,8,31,3,ISTJ,1
Foreman (manufacturing),Department head,19,21,24,4,25,7,26,9,ISTJ,1
Foreman (manufacturing),Department head,28,5,17,15,14,22,18,17,ESFJ,1
Foreman (manufacturing),Department head,23,14,27,6,28,12,27,8,ESTJ,1
Foreman (manufacturing),Department head,15,22,14,17,21,14,26,5,INTJ,1
Foreman (manufacturing),Department head,18,16,16,15,20,14,22,14,ESTJ,0
Foreman (manufacturing),Department head,21,11,21,15,23,12,31,7,ESTJ,1
Foreman (manufacturing),Department head,8,28,25,11,33,4,31,4,ISTJ,1
Foreman (manufacturing),Department head,27,13,24,13,15,14,28,7,ESTJ,1
Foreman (manufacturing),Department head,20,17,19,9,15,18,18,17,ESFJ,0
Foreman (manufacturing),Department head,27,10,20,10,26,6,25,10,ESTJ,1
Foreman (manufacturing),Department head,21,19,14,18,27,10,26,8,ENTJ,1
Foreman (manufacturing),Department head,23,14,25,9,27,7,31,4,ESTJ,1
Foreman (manufacturing),Department head,22,14,19,15,13,19,19,18,ESFJ,1
Foreman (manufacturing),Department head,25,12,27,9,26,10,31,2,ESTJ,0
Foreman (manufacturing),Department head,11,31,24,8,25,4,26,10,ISTJ,1
Foreman (manufacturing),Department head,21,18,31,5,22,13,31,5,ESTJ,1
Foreman (manufacturing),Department head,16,18,22,17,17,15,25,9,ISTJ,0
Foreman (manufacturing),Department head,22,13,18,15,18,17,27,10,ESTJ,1
Foreman (manufacturing),Department head,6,32,22,11,32,4,18,18,ISTJ,1
Foreman (manufacturing),Department head,26,9,28,7,29,5,27,6,ESTJ,1
Foreman (manufacturing),Department head,17,23,26,7,21,9,21,14,ISTJ,0
Foreman (manufacturing),Department head,15,21,31,5,30,9,27,5,ISTJ,1
Foreman (manufacturing),Department head,18,24,22,9,30,5,19,14,ISTJ,1
Foreman (manufacturing),Department head,18,20,26,8,25,9,18,15,ISTJ,1
Foreman (manufacturing),Department head,31,7,22,11,28,5,26,9,ESTJ,1
Foreman (manufacturing),Department head,14,26,27,5,20,5,26,6,ISTJ,1
Foreman (manufacturing),Department head,23,11,25,4,26,13,27,6,ESTJ,1
Foreman (manufacturing),Department head,26,12,33,6,26,8,29,4,ESTJ,1
Foreman (manufacturing),Department head,30,4,24,10,21,18,24,10,ESTJ,1
Foreman (manufacturing),Department head,9,29,21,7,22,11,16,17,ISTP,0
Foreman (manufacturing),Department head,19,13,17,16,23,12,22,12,ESTJ,0
Foreman (manufacturing),Department head,11,25,14,12,21,13,32,3,ISTJ,1
Foreman (manufacturing),Department head,25,13,27,6,24,9,28,7,ESTJ,0
Foreman (manufacturing),Department head,26,11,15,16,26,9,15,18,ENTP,1
Foreman (manufacturing),Department head,24,14,28,7,24,13,29,5,ESTJ,1
Foreman (manufacturing),Department head,17,19,17,17,22,13,19,14,ISTJ,1
Foreman (manufacturing),Department head,21,13,16,15,27,4,30,4,ESTJ,1
Foreman (manufacturing),Department head,10,29,31,3,27,3,25,9,ISTJ,1
Foreman (manufacturing),Department head,15,23,31,7,19,13,23,11,ISTJ,1
Foreman (manufacturing),Department head,14,22,18,13,19,7,23,12,ISTJ,0
Foreman (manufacturing),Department head,28,10,17,17,28,4,27,7,ESTJ,1
Foreman (manufacturing),Department head,19,22,24,13,28,9,30,5,ISTJ,1
Foreman (manufacturing),Department head,18,18,10,22,15,18,22,16,ENFJ,0
Foreman (manufacturing),Department head,12,25,28,7,27,7,34,4,ISTJ,1
Foreman (manufacturing),Department head,17,17,14,19,17,15,16,17,ENTP,0
Foreman (manufacturing),Department head,27,9,14,18,16,17,10,26,ENFP,0
Foreman (manufacturing),Department head,21,17,9,21,17,18,17,18,ENFP,1
Foreman (manufacturing),Department head,12,25,21,10,22,9,25,10,ISTJ,0
Foreman (manufacturing),Department head,15,23,20,13,22,14,28,10,ISTJ,1
Foreman (manufacturing),Department head,15,21,16,18,28,8,16,19,INTP,0
Foreman (manufacturing),Department head,21,17,28,9,26,4,23,17,ESTJ,1
Foreman (manufacturing),Department head,21,13,18,18,24,13,18,18,ESTJ,0
Foreman (manufacturing),Department head,17,18,20,9,26,7,19,11,ISTJ,1
Foreman (manufacturing),Department head,21,19,23,8,22,15,17,22,ESTP,1
Foreman (manufacturing),Department head,28,9,27,8,25,3,28,6,ESTJ,1
Foreman (manufacturing),Department head,19,19,18,7,15,16,30,6,ESFJ,1
Foreman (manufacturing),Department head,16,18,23,9,21,11,30,7,ISTJ,1
Foreman (manufacturing),Department head,31,4,17,19,20,10,23,13,ENTJ,0
Foreman (manufacturing),Department head,1,35,31,4,32,3,31,3,ISTJ,1
Foreman (manufacturing),Department head,19,19,20,12,27,7,15,23,ESTP,0
Foreman (manufacturing),Department head,18,22,26,7,32,8,29,4,ISTJ,0
Foreman (manufacturing),Department head,16,26,29,5,26,7,24,11,ISTJ,0
Foreman (manufacturing),Department head,15,15,19,13,17,15,27,8,ESTJ,0
Foreman (manufacturing),Department head,26,11,21,13,26,6,24,8,ESTJ,1
Foreman (manufacturing),Department head,17,19,22,11,26,8,24,10,ISTJ,1
Foreman (manufacturing),Department head,21,15,15,15,27,1,27,6,ESTJ,1
Foreman (manufacturing),Department head,15,22,19,14,20,14,17,19,ISTP,1
Foreman (manufacturing),Department head,13,23,21,13,21,15,10,24,ISTP,0
Foreman (manufacturing),Department head,18,19,14,12,24,7,25,12,ISTJ,1
Foreman (manufacturing),Department head,15,20,18,13,23,12,18,13,ISTJ,1
Foreman (manufacturing),Department head,19,15,17,14,28,5,26,9,ESTJ,1
Foreman (manufacturing),Department head,26,16,31,6,27,12,23,13,ESTJ,0
Foreman (manufacturing),Department head,17,19,12,18,13,18,14,19,INFP,1
Foreman (manufacturing),Department head,22,18,19,9,26,9,27,6,ESTJ,1
Foreman (manufacturing),Department head,33,1,11,21,17,19,18,18,ENFJ,1
Foreman (manufacturing),Department head,22,13,18,16,20,18,12,26,ESTP,1
Foreman (manufacturing),Department head,30,7,17,16,32,10,18,16,ESTJ,1
Foreman (manufacturing),Department head,25,17,8,26,22,15,17,19,ENTP,1
Foreman (manufacturing),Department head,25,13,14,8,24,7,17,17,ESTJ,1
Foreman (manufacturing),Department head,29,7,8,18,22,11,15,17,ENTP,1
Foreman (manufacturing),Department head,19,15,11,20,14,19,9,25,ENFP,1
Foreman (manufacturing),Department head,23,13,17,15,23,14,25,10,ESTJ,0
Foreman (manufacturing),Department head,26,12,20,10,23,8,27,6,ESTJ,1
Foreman (manufacturing),Department head,19,20,30,2,24,8,32,4,ISTJ,1
Foreman (manufacturing),Department head,27,13,30,9,24,6,27,6,ESTJ,1
Foreman (manufacturing),Department head,25,11,19,11,20,14,13,18,ESTP,1
Foreman (manufacturing),Department head,16,20,21,8,24,9,18,14,ISTJ,1
Foreman (manufacturing),Department head,9,23,20,10,30,7,34,6,ISTJ,0
Foreman (manufacturing),Department head,19,19,24,14,33,6,27,6,ESTJ,1
Foreman (manufacturing),Department head,20,19,29,7,17,19,24,14,ESFJ,1
Foreman (manufacturing),Department head,13,26,29,1,23,10,29,7,ISTJ,1
Foreman (manufacturing),Department head,29,5,24,12,24,12,20,12,ESTJ,0
Foreman (manufacturing),Department head,22,15,22,11,27,4,30,6,ESTJ,1
Foreman (manufacturing),Department head,8,32,9,19,20,13,26,10,INTJ,1
Foreman (manufacturing),Department head,20,15,21,14,33,8,20,14,ESTJ,1
Foreman (manufacturing),Department head,20,14,12,17,31,3,19,16,ENTJ,1
Foreman (manufacturing),Department head,24,18,15,15,26,3,32,5,ESTJ,1
Foreman (manufacturing),Department head,10,25,19,11,16,16,11,20,ISTP,0
Foreman (manufacturing),Department head,27,12,26,5,26,6,28,5,ESTJ,0
Foreman (manufacturing),Department head,25,11,13,19,14,17,3,32,ENFP,1
Foreman (manufacturing),Department head,12,21,20,9,14,11,20,14,ISTJ,1
Foreman (manufacturing),Department head,24,10,9,23,14,18,8,27,ENFP,1
Foreman (manufacturing),Department head,27,11,24,6,24,7,32,3,ESTJ,1
Foreman (manufacturing),Department head,22,18,24,9,28,5,28,6,ESTJ,1
Foreman (manufacturing),Department head,10,25,26,5,31,6,32,3,ISTJ,1
Foreman (manufacturing),Department head,28,9,28,4,28,6,31,6,ESTJ,0
Foreman (manufacturing),Department head,30,6,14,20,25,4,21,13,ENTJ,0
Foreman (manufacturing),Department head,24,11,26,9,17,19,28,10,ESFJ,0
Foreman (manufacturing),Department head,13,23,23,14,20,13,12,24,ISTP,0
Foreman (manufacturing),Department head,28,7,13,15,28,6,23,8,ENTJ,1
Foreman (manufacturing),Department head,18,25,31,2,33,7,33,1,ISTJ,1
Foreman (manufacturing),Department head,7,26,7,28,28,5,7,26,INTP,0
Foreman (manufacturing),Department head,28,5,23,14,21,16,20,14,ESTJ,1
Foreman (manufacturing),Department head,21,14,26,11,22,7,21,14,ESTJ,1
Foreman (manufacturing),Department head,27,13,29,6,26,10,21,16,ESTJ,1
Foreman (manufacturing),Department head,27,7,26,13,23,8,24,11,ESTJ,1
Foreman (manufacturing),Department head,13,21,18,19,21,8,20,16,INTJ,0
Foreman (manufacturing),Department head,9,27,17,14,20,9,31,5,ISTJ,1
Foreman (manufacturing),Department head,13,24,28,6,21,14,27,11,ISTJ,1
Foreman (manufacturing),Department head,18,18,11,18,27,5,25,6,ENTJ,0
Foreman (manufacturing),Department head,16,23,24,6,17,12,28,8,ISTJ,1
Foreman (manufacturing),Department head,20,17,24,16,24,10,26,10,ESTJ,1
Foreman (manufacturing),Department head,24,12,23,16,26,16,27,7,ESTJ,1
Foreman (manufacturing),Department head,16,22,31,3,20,12,34,2,ISTJ,0
Foreman (manufacturing),Department head,11,25,20,14,31,4,20,16,ISTJ,1
Foreman (manufacturing),Department head,30,6,9,21,14,18,14,23,ENFP,0
Foreman (manufacturing),Department head,25,11,24,14,30,9,23,16,ESTJ,0
Foreman (manufacturing),Department head,24,12,13,15,15,23,18,18,ENFJ,1
Foreman (manufacturing),Department head,18,16,12,17,23,11,9,25,ENTP,0
Foreman (manufacturing),Department head,25,7,8,24,22,11,21,12,ENTJ,1
Foreman (manufacturing),Department head,14,17,24,15,10,27,17,23,ISFP,1
Foreman (manufacturing),Department head,10,27,12,20,13,17,15,20,INFP,0
Foreman (manufacturing),Department head,12,20,12,17,22,5,16,21,INTP,1
Foreman (manufacturing),Department head,14,24,11,13,18,16,24,9,INTJ,1
Foreman (manufacturing),Department head,10,26,14,14,21,16,19,14,ISTJ,0
Foreman (manufacturing),Department head,26,10,11,17,16,16,7,29,ENTP,0
Foreman (manufacturing),Department head,11,24,20,20,15,20,20,17,ISFJ,0
Foreman (manufacturing),Department head,12,22,24,10,18,12,21,11,ISTJ,0
Foreman (manufacturing),Department head,24,11,17,17,13,15,26,10,ESFJ,1
Foreman (manufacturing),Department head,17,15,29,11,24,16,14,22,ESTP,1
Foreman (manufacturing),Department head,28,9,5,25,8,26,20,14,ENFJ,0
Foreman (manufacturing),Department head,23,11,20,10,27,10,28,7,ESTJ,1
Foreman (manufacturing),Department head,9,29,22,14,29,4,14,22,ISTP,1
Foreman (manufacturing),Department head,3,31,30,5,13,21,29,7,ISFJ,0
Foreman (manufacturing),Department head,16,23,19,14,28,8,24,11,ISTJ,1
Foreman (manufacturing),Department head,29,9,22,14,28,8,30,6,ESTJ,1
Foreman (manufacturing),Department head,22,14,21,10,23,14,20,14,ESTJ,1
Foreman (manufacturing),Department head,24,16,24,13,28,3,29,7,ESTJ,1
Foreman (manufacturing),Department head,5,29,23,21,15,16,2,33,ISFP,0
Foreman (manufacturing),Department head,27,12,25,10,19,18,29,10,ESTJ,1
Foreman (manufacturing),Department head,14,21,31,2,29,6,31,4,ISTJ,1
Foreman (manufacturing),Department head,18,14,17,12,9,24,29,4,ESFJ,1
Foreman (manufacturing),Department head,19,20,15,12,20,14,28,7,ISTJ,1
Foreman (manufacturing),Department head,28,13,15,13,29,6,21,14,ESTJ,1
Foreman (manufacturing),Department head,16,20,19,14,22,15,22,15,ISTJ,1
Foreman (manufacturing),Department head,25,12,6,28,16,22,15,19,ENFP,1
Foreman (manufacturing),Department head,18,18,17,20,26,11,17,18,ENTP,0
Foreman (manufacturing),Department head,13,22,34,2,30,6,29,3,ISTJ,1
Foreman (manufacturing),Department head,31,8,23,10,31,4,28,6,ESTJ,0
Foreman (manufacturing),Department head,17,15,15,11,30,9,15,21,ESTP,0
Foreman (manufacturing),Department head,22,14,28,6,20,11,30,7,ESTJ,0
Foreman (manufacturing),Department head,10,24,25,10,28,10,30,3,ISTJ,1
Foreman (manufacturing),Department head,25,9,10,19,27,5,23,13,ENTJ,1
Foreman (manufacturing),Department head,21,18,23,12,28,4,33,4,ESTJ,0
Foreman (manufacturing),Department head,25,13,25,10,26,13,33,5,ESTJ,0
Foreman (manufacturing),Department head,24,8,21,11,33,5,24,12,ESTJ,1
Foreman (manufacturing),Department head,15,20,22,10,23,8,22,13,ISTJ,1
Foreman (manufacturing),Department head,24,13,30,6,27,6,26,9,ESTJ,0
Foreman (manufacturing),Department head,30,7,24,11,23,10,23,12,ESTJ,1
Foreman (manufacturing),Department head,20,18,19,19,19,10,18,20,ESTP,1
Foreman (manufacturing),Department head,27,10,24,7,31,9,29,4,ESTJ,1
Foreman (manufacturing),Department head,15,23,18,20,18,12,14,21,INTP,0
Foreman (manufacturing),Department head,23,12,20,15,23,11,21,17,ESTJ,0
Foreman (manufacturing),Department head,15,20,19,13,18,9,28,5,ISTJ,1
Foreman (manufacturing),Department head,19,20,22,8,26,8,28,9,ISTJ,0
Foreman (manufacturing),Department head,22,13,20,13,22,10,24,9,ESTJ,1
Foreman (manufacturing),Department head,26,11,25,6,24,7,30,3,ESTJ,1
Foreman (manufacturing),Department head,26,14,20,11,22,7,28,5,ESTJ,1
Foreman (manufacturing),Department head,30,9,18,15,30,0,26,6,ESTJ,1
Foreman (manufacturing),Department head,22,14,18,15,20,9,23,11,ESTJ,1
Foreman (manufacturing),Department head,19,16,27,11,26,8,29,7,ESTJ,1
Foreman (manufacturing),Department head,20,20,14,16,22,10,25,11,ENTJ,1
Foreman (manufacturing),Department head,11,27,13,18,19,20,17,17,INFJ,0
Foreman (manufacturing),Department head,19,19,26,6,20,13,24,10,ESTJ,1
Foreman (manufacturing),Department head,18,22,20,14,30,5,23,5,ISTJ,0
Foreman (manufacturing),Department head,6,30,19,13,31,4,10,25,ISTP,1
Foreman (manufacturing),Department head,25,11,25,12,28,7,25,11,ESTJ,1
Foreman (manufacturing),Department head,20,14,20,10,29,2,27,9,ESTJ,1
Foreman (manufacturing),Department head,15,19,27,7,25,9,28,6,ISTJ,1
Foreman (manufacturing),Department head,19,22,20,12,30,8,22,9,ISTJ,0
Brand manager,Advertising and marketing,26,10,18,17,12,19,10,26,ESFP,1
Brand manager,Advertising and marketing,26,9,23,6,26,11,30,4,ESTJ,1
Brand manager,Advertising and marketing,28,5,6,25,14,18,9,25,ENFP,0
Brand manager,Advertising and marketing,10,26,19,13,20,10,15,21,ISTP,1
Brand manager,Advertising and marketing,21,15,22,10,29,3,30,9,ESTJ,1
Brand manager,Advertising and marketing,8,29,19,17,10,27,24,10,ISFJ,0
Brand manager,Advertising and marketing,10,31,29,7,32,4,23,18,ISTJ,1
Brand manager,Advertising and marketing,25,11,19,16,31,4,33,2,ESTJ,1
Brand manager,Advertising and marketing,14,20,18,13,16,19,19,14,ISFJ,0
Brand manager,Advertising and marketing,23,16,13,15,10,20,23,10,ENFJ,1
Brand manager,Advertising and marketing,17,20,21,14,15,17,28,4,ISFJ,1
Brand manager,Advertising and marketing,24,9,20,14,18,15,25,10,ESTJ,1
Brand manager,Advertising and marketing,29,7,18,15,28,5,27,10,ESTJ,1
Brand manager,Advertising and marketing,28,6,13,17,23,10,13,21,ENTP,1
Brand manager,Advertising and marketing,33,2,14,22,22,12,13,23,ENTP,1
Brand manager,Advertising and marketing,20,16,18,11,26,7,21,15,ESTJ,1
Brand manager,Advertising and marketing,19,16,28,6,22,9,22,8,ESTJ,1
Brand manager,Advertising and marketing,18,21,22,11,20,16,29,5,ISTJ,1
Brand manager,Advertising and marketing,22,12,21,19,19,13,23,10,ESTJ,1
Brand manager,Advertising and marketing,6,27,21,17,28,15,25,12,ISTJ,0
Brand manager,Advertising and marketing,22,14,10,21,22,16,15,20,ENTP,1
Brand manager,Advertising and marketing,29,8,14,13,22,10,27,8,ESTJ,1
Brand manager,Advertising and marketing,24,11,16,17,27,6,27,10,ENTJ,1
Brand manager,Advertising and marketing,21,12,14,26,9,24,18,18,ENFJ,1
Brand manager,Advertising and marketing,26,10,9,27,15,16,8,26,ENFP,1
Brand manager,Advertising and marketing,28,9,13,21,23,13,13,21,ENTP,0
Brand manager,Advertising and marketing,14,19,15,19,24,14,13,22,INTP,1
Brand manager,Advertising and marketing,9,26,21,16,13,15,27,7,ISFJ,0
Brand manager,Advertising and marketing,24,11,9,16,15,16,17,18,ENFP,1
Brand manager,Advertising and marketing,25,13,10,23,14,19,8,28,ENFP,1
Brand manager,Advertising and marketing,25,13,10,22,9,26,12,23,ENFP,0
Brand manager,Advertising and marketing,24,10,15,18,15,17,18,15,ENFJ,1
Brand manager,Advertising and marketing,31,6,2,33,6,31,5,32,ENFP,1
Brand manager,Advertising and marketing,24,10,22,12,10,25,24,10,ESFJ,0
Brand manager,Advertising and marketing,23,17,12,16,21,17,18,19,ENTP,1
Brand manager,Advertising and marketing,26,11,15,20,16,15,21,17,ENTJ,1
Brand manager,Advertising and marketing,31,8,12,19,19,18,16,20,ENTP,1
Brand manager,Advertising and marketing,27,8,27,7,26,6,26,7,ESTJ,1
Brand manager,Advertising and marketing,29,8,25,8,13,21,17,22,ESFP,0
Brand manager,Advertising and marketing,22,20,24,12,20,15,24,16,ESTJ,1
Brand manager,Advertising and marketing,28,10,18,12,31,8,19,16,ESTJ,1
Brand manager,Advertising and marketing,13,22,16,16,20,11,14,20,ISTP,1
Brand manager,Advertising and marketing,29,8,17,14,22,13,26,8,ESTJ,1
Brand manager,Advertising and marketing,15,25,24,11,22,9,28,12,ISTJ,1
Brand manager,Advertising and marketing,6,30,10,19,18,14,9,24,INTP,0
Brand manager,Advertising and marketing,22,17,11,21,18,15,16,17,ENTP,0
Brand manager,Advertising and marketing,15,22,27,11,29,3,21,18,ISTJ,1
Brand manager,Advertising and marketing,29,6,14,16,23,11,17,16,ENTJ,1
Brand manager,Advertising and marketing,33,3,17,11,24,16,16,18,ESTP,1
Brand manager,Advertising and marketing,13,22,17,10,12,18,16,16,ISFJ,1
Brand manager,Advertising and marketing,23,15,14,18,13,25,20,17,ENFJ,0
Brand manager,Advertising and marketing,24,11,6,29,12,24,19,18,ENFJ,0
Accountant,Finance,30,8,22,7,28,8,31,4,ESTJ,1
Accountant,Finance,22,14,7,20,14,19,16,18,ENFP,1
Accountant,Finance,24,15,28,4,22,16,31,5,ESTJ,1
Accountant,Finance,4,33,20,8,30,3,34,2,ISTJ,0
Accountant,Finance,10,26,28,6,24,13,25,11,ISTJ,1
Accountant,Finance,16,24,28,7,27,5,27,9,ISTJ,1
Accountant,Finance,19,21,21,7,24,8,28,5,ISTJ,1
Accountant,Finance,20,16,5,24,13,17,14,23,ENFP,0
Accountant,Finance,17,19,22,11,26,10,32,6,ISTJ,1
Accountant,Finance,19,17,18,14,23,10,32,4,ESTJ,1
Accountant,Finance,24,16,25,9,21,13,28,8,ESTJ,1
Accountant,Finance,16,21,14,18,17,19,27,8,INFJ,1
Accountant,Finance,23,20,17,12,17,16,19,17,ESTJ,1
Accountant,Finance,18,20,18,14,22,14,10,23,ISTP,1
Accountant,Finance,29,10,23,9,20,18,26,8,ESTJ,0
Accountant,Finance,12,25,32,3,27,8,27,8,ISTJ,1
Accountant,Finance,26,11,29,4,19,11,31,4,ESTJ,1
Accountant,Finance,26,12,21,10,21,10,28,9,ESTJ,1
Accountant,Finance,13,23,17,14,14,14,24,12,ISTJ,0
Accountant,Finance,23,14,14,19,13,19,21,13,ENFJ,1
Accountant,Finance,25,10,21,10,25,11,25,12,ESTJ,1
Accountant,Finance,23,15,25,9,22,9,25,10,ESTJ,1
Accountant,Finance,12,21,16,13,18,13,14,21,ISTP,1
Accountant,Finance,17,22,24,9,23,13,30,6,ISTJ,1
Accountant,Finance,25,9,26,11,31,6,30,5,ESTJ,1
Accountant,Finance,20,18,30,4,20,15,30,5,ESTJ,1
Accountant,Finance,23,14,18,15,29,7,27,4,ESTJ,1
Accountant,Finance,15,21,19,12,14,15,11,23,ISFP,1
Accountant,Finance,13,22,20,14,20,13,19,15,ISTJ,0
Accountant,Finance,14,24,24,10,16,11,27,8,ISTJ,1
Accountant,Finance,25,16,13,12,21,14,28,5,ESTJ,1
Accountant,Finance,7,25,29,4,16,18,32,3,ISFJ,0
Accountant,Finance,15,23,26,8,19,11,27,8,ISTJ,1
Accountant,Finance,23,16,22,9,20,15,20,16,ESTJ,1
Accountant,Finance,17,17,20,6,23,9,21,13,ESTJ,1
Accountant,Finance,30,6,9,25,15,20,9,29,ENFP,0
Accountant,Finance,20,19,20,12,17,13,27,8,ESTJ,1
Accountant,Finance,23,15,18,14,24,12,27,9,ESTJ,1
Accountant,Finance,25,10,22,15,14,18,20,15,ESFJ,0
Accountant,Finance,19,19,30,2,17,18,30,4,ESFJ,1
Accountant,Finance,17,22,9,23,7,25,13,24,INFP,0
Accountant,Finance,12,25,31,5,26,11,28,10,ISTJ,1
Accountant,Finance,22,21,18,14,25,4,15,17,ESTP,0
Accountant,Finance,9,28,26,9,24,11,30,2,ISTJ,0
Accountant,Finance,6,28,10,23,1,28,11,22,INFP,0
Accountant,Finance,16,21,23,5,15,16,30,3,ISFJ,1
Accountant,Finance,15,19,30,9,18,12,25,9,ISTJ,0
Accountant,Finance,12,22,16,24,24,9,22,13,INTJ,0
Accountant,Finance,26,13,20,14,18,14,21,13,ESTJ,1
Accountant,Finance,25,12,14,14,14,22,22,14,ESFJ,1
Accountant,Finance,14,23,21,12,21,13,22,16,ISTJ,1
Accountant,Finance,16,23,21,9,18,11,32,4,ISTJ,1
Accountant,Finance,25,10,17,12,21,15,20,12,ESTJ,0
Accountant,Finance,20,15,10,21,16,23,15,20,ENFP,0
Accountant,Finance,13,23,28,4,21,14,24,8,ISTJ,1
Accountant,Finance,14,23,25,12,12,19,18,15,ISFJ,0
Accountant,Finance,8,26,28,7,21,10,14,18,ISTP,0
Accountant,Finance,19,16,22,13,20,19,21,13,ESTJ,0
Accountant,Finance,30,9,27,7,20,15,21,12,ESTJ,1
Accountant,Finance,34,3,7,22,15,25,6,29,ENFP,1
Accountant,Finance,19,17,9,20,18,13,20,17,ENTJ,1
Accountant,Finance,27,10,12,17,15,16,15,23,ENFP,0
Accountant,Finance,25,13,16,12,9,21,15,25,ESFP,1
Accountant,Finance,11,27,17,15,18,17,29,10,ISTJ,0
Accountant,Finance,22,20,16,13,28,14,23,11,ESTJ,1
Accountant,Finance,15,20,31,9,26,8,18,18,ISTJ,1
Accountant,Finance,12,26,20,16,14,19,21,12,ISFJ,0
Accountant,Finance,17,19,16,10,20,19,22,14,ISTJ,0
Accountant,Finance,22,15,20,9,26,13,23,13,ESTJ,1
Accountant,Finance,22,15,15,15,27,9,27,9,ESTJ,1
Accountant,Finance,24,14,28,8,22,15,22,15,ESTJ,1
Accountant,Finance,15,20,14,17,25,11,12,21,INTP,1
Accountant,Finance,14,20,26,9,22,13,24,8,ISTJ,0
Accountant,Finance,17,22,22,10,19,14,11,24,ISTP,1
Accountant,Finance,17,17,19,13,18,14,20,13,ESTJ,0
Accountant,Finance,17,22,24,8,24,13,14,20,ISTP,1
Accountant,Finance,20,22,24,12,26,10,25,12,ISTJ,1
Accountant,Finance,14,24,28,5,30,8,24,11,ISTJ,0
Accountant,Finance,23,13,18,11,15,19,21,13,ESFJ,0
Accountant,Finance,20,15,23,10,16,20,25,10,ESFJ,1
Accountant,Finance,15,23,32,5,20,12,32,4,ISTJ,1
Accountant,Finance,18,20,30,3,18,22,29,8,ISFJ,1
Accountant,Finance,23,15,27,9,21,7,28,5,ESTJ,1
Accountant,Finance,12,25,20,6,15,17,20,17,ISFJ,1
Accountant,Finance,16,17,19,12,16,19,25,8,ISFJ,0
Accountant,Finance,11,26,21,14,25,8,24,12,ISTJ,1
Accountant,Finance,14,20,10,20,14,16,14,21,INFP,0
Accountant,Finance,22,18,34,4,20,12,30,6,ESTJ,1
Accountant,Finance,14,26,18,12,19,15,21,13,ISTJ,1
Accountant,Finance,18,23,21,5,15,21,27,8,ISFJ,1
Accountant,Finance,14,24,9,30,31,4,11,24,INTP,0
Accountant,Finance,19,19,14,20,8,25,20,15,ENFJ,0
Accountant,Finance,26,10,13,16,11,18,25,15,ENFJ,1
Accountant,Finance,22,19,18,11,16,15,19,14,ESTJ,1
Accountant,Finance,18,20,21,7,21,12,20,12,ISTJ,1
Accountant,Finance,16,23,26,9,19,14,32,4,ISTJ,1
Accountant,Finance,21,18,27,15,17,17,23,13,ESTJ,0
Accountant,Finance,20,17,18,16,17,19,29,9,ESFJ,0
